raw_id,cleaned,scientific_name,collection_id
A38,A38,A38,
Debaryomyces_hansenii_NRRL_Y-7426,Debaryomyces hansenii NRRL Y-7426,Debaryomyces hansenii,NRRL_Y-7426
Debaryomyces_robertsiae_NRRL_Y-6670,Debaryomyces robertsiae NRRL Y-6670,Debaryomyces robertsiae,NRRL_Y-6670
Candida_multigemmis_NRRL_Y-17659,Candida multigemmis NRRL Y-17659,Candida multigemmis,NRRL_Y-17659
Candida_boleticola_NRRL_Y-17080,Candida boleticola NRRL Y-17080,Candida boleticola,NRRL_Y-17080
Kurtzmaniella_cleridarum_NRRL_Y-48386,Kurtzmaniella cleridarum NRRL Y-48386,Kurtzmaniella cleridarum,NRRL_Y-48386
Priceomyces_carsonii_NRRL_YB-4275,Priceomyces carsonii NRRL YB-4275,Priceomyces carsonii,NRRL_YB-4275
Schwanniomyces_occidentalis_NRRL_Y-10,Schwanniomyces occidentalis NRRL Y-10,Schwanniomyces occidentalis,NRRL_Y-10
Schwanniomyces_etchellsii_NRRL_Y-7121,Schwanniomyces etchellsii NRRL Y-7121,Schwanniomyces etchellsii,NRRL_Y-7121
Scheffersomyces_spartinae_NRRL_Y-7322,Scheffersomyces spartinae NRRL Y-7322,Scheffersomyces spartinae,NRRL_Y-7322
Nematodospora_valgi_CBS_12562,Nematodospora valgi CBS 12562,Nematodospora valgi,CBS_12562
Nakazawaea_holstii_NRRL_Y-2155,Nakazawaea holstii NRRL Y-2155,Nakazawaea holstii,NRRL_Y-2155
Babjeviella_inositovora_NRRL_Y-12698,Babjeviella inositovora NRRL Y-12698,Babjeviella inositovora,NRRL_Y-12698
Citeromyces_matritensis_NRRL_Y-2407,Citeromyces matritensis NRRL Y-2407,Citeromyces matritensis,NRRL_Y-2407
Ogataea_siamensis_ATCC_MYA-4464,Ogataea siamensis ATCC MYA-4464,Ogataea siamensis,ATCC_MYA-4464
Ogataea_nakhonphanomensis_ATCC_MYA-4463,Ogataea nakhonphanomensis ATCC MYA-4463,Ogataea nakhonphanomensis,ATCC_MYA-4463
Lasiobolidium_orbiculoides_CBS_344.73,Lasiobolidium orbiculoides CBS 344.73,Lasiobolidium orbiculoides,CBS_344.73
